id,unit_name,catch_copy,goal,target_grade,disability_type,developmental_stage,duration,materials,introduction_flow,activity_flow,reflection_flow,points,hashtags,image,material_photos,video_link,detail_word_url,detail_pdf_url,detail_ppt_url,detail_excel_url,ict_use,subject,group_type,unit_orderunit_lesson_title,
1,「買い物体験」,失敗しても笑って学べる買い物授業！,自分でお金を支払う,高等部,知的中度,中学部1段階（6～9歳）,45分,"値段カード,財布・模擬硬貨,実店舗（スーパー）",スライドを使って、今日の授業の説明,値段カードで事前練習（いくら払うか、おつりはいくつか）,生徒達の買い物学習を評価,視覚支援（値段カード、支払いステップシート）で「支払う」流れを事前確認;失敗しても先生が適切にフォローし、成功体験につなげる;少人数グループでの実施で個別のサポートを充実,"高等部,生活単元,お金,自立活動,買い物,社会生活",https://imgur.com/qUQb54B.jpeg,https://imgur.com/qUQb54B,,https://docs.google.com/document/d/1Qc_PNqciFxpOG0q_CQFpEu_rxOtUTgrT/edit?usp=sharing&ouid=116753830755301936694&rtpof=true&sd=true,https://example.com/shopping_lesson_plan.pdf,,,あり,生活単元学習,課題別グループ,2,「買い物体験」
2,地図（MAP）について知ろう,MAPを自分で編集して見やすくする,iPadのマップやGOOGLEMAPを使って場所が確認できるようになる。また社会体験学習で防災について勉強した繋がり。,高等部１学年,知的障害,中学部1段階（6～10歳）,５０分,プロジェクター、iPad、生徒一人一人のSTアカウント（Canvaのログイン時に使用）、パワポ（最初の説明）,今日やることの確認。避難所（マーク）やハザードマップなどの説明。,初めは「マップ」を使い学校の場所を調べる→学校の周辺施設で避難所表示がされている場所をストリートビューなどを使い探す→見つけた避難所をCanvaで張り付けた地図にスタンプなどで表示したりコメントを入れたりする,自分のまとめた避難所マップを前のプロジェクターでミラーリングして発表,iPadのマップアプリで学校周辺の地図をスクリーンショットして、Canvaにアップロードして避難場所にスタンプなどの印をつける,"高等部,生活単元,地図,社会体験学習,防災,MAP,ストリートビュー,避難所,ハザードマップ",https://imgur.com/VkEParz.png,,,https://docs.google.com/document/d/1Qc_PNqciFxpOG0q_CQFpEu_rxOtUTgrT?rtpof=true&usp=drive_fs,,https://docs.google.com/presentation/d/1S_wxsRY5W1rn_vhOv-A619C4S7F6nysa?rtpof=true&usp=drive_fs,,あり,生活単元学習,学年全体各クラスごとでの授業,1,学校周辺の避難場所を確認しよう
3, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～11歳）,90分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
4,「季節を感じるちぎり絵」,指先の感触で、豊かな表現力を育む,様々な色の紙を使って、季節の風景をちぎり絵で表現する,小学部,知的軽度,中学部1段階（6～12歳）,45分,"色紙,台紙,のり",スライドを使って、今日の授業の説明,季節の風景（紅葉、雪景色など）の絵本を見る;好きな色の紙を選び、手でちぎる;台紙に貼って風景を完成させる,児童達でできた作品を見せ合いお互いに評価,色の組み合わせの楽しさを伝え、自由に表現できる雰囲気を作る;指先を使うことで、微細運動能力の発達を促す;完成した作品は教室に飾り、達成感を味わわせる,"小学部,図画工作,表現,季節,アート",https://i.imgur.com/example_art.jpg,,,,,,,なし, 図画工作,クラス別,1,「季節を感じるちぎり絵」
5,地図（MAP）について知ろう,MAPを自分で編集して見やすくする,iPadのマップやGOOGLEMAPを使って場所が確認できるようになる。またCanvaのホワイトボードを使用してまとめる,高等部１学年,知的障害,中学部1段階（6～13歳）,５０分,プロジェクター、iPad、生徒一人一人のSTアカウント（Canvaのログイン時に使用）、パワポ（最初の説明）,今日やることの確認。前回の授業でやった内容を確認。,今回は自分の家の周辺の避難所などをハザードマップを基に調べる。MAPや調べた施設はストリートビューなどでスクリーンショットする。最後にCanvaのホワイトボードに張り付けてコメントを入れる。,自分のまとめた避難所マップを前のプロジェクターでミラーリングして発表,iPadのマップアプリで自宅周辺の地図をスクリーンショットして、Canvaにアップロードして避難場所にスタンプなどの印をつける,"高等部,生活単元,地図,社会体験学習,防災,MAP,ストリートビュー,避難所,ハザードマップ",https://imgur.com/VkEParz.png,,,https://docs.google.com/document/d/1Qc_PNqciFxpOG0q_CQFpEu_rxOtUTgrT?rtpof=true&usp=drive_fs,,https://docs.google.com/presentation/d/1S_wxsRY5W1rn_vhOv-A619C4S7F6nysa?rtpof=true&usp=drive_fs,,あり,生活単元学習,学年全体各クラスごとでの授業,2,自宅周辺の避難場所を確認しよう
6,地図（MAP）について知ろう,MAPを自分で編集して見やすくする,iPadのマップやGOOGLEMAPを使って場所が確認できるようになる。またCanvaのホワイトボードを使用してまとめる,高等部１学年,知的障害,中学部1段階（6～14歳）,５１分,プロジェクター、iPad、生徒一人一人のSTアカウント（Canvaのログイン時に使用）、パワポ（最初の説明）,今日やることの確認。前回の授業でやった内容を確認。,今までまとめた内容で、Canvaを使用してポスター作成。,各クラスでポスター発表。,Canvaのポスターの機能を使用,"高等部,生活単元,地図,社会体験学習,防災,MAP,ストリートビュー,避難所,ハザードマップ",https://imgur.com/VkEParz.png,,,https://docs.google.com/document/d/1Qc_PNqciFxpOG1q_CQFpEu_rxOtUTgrT?rtpof=true&usp=drive_fs,,https://docs.google.com/presentation/d/1S_wxsRY5W1rn_vhOv-A619C4S7F7nysa?rtpof=true&usp=drive_fs,,あり,生活単元学習,学年全体各クラスごとでの授業,3,Canvaでポスターを作ろう
7, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～15歳）,90分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
8, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～16歳）,91分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
9, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～17歳）,92分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
10, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～18歳）,93分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
11, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～19歳）,94分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
12, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～20歳）,95分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
13, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～21歳）,96分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
14, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～22歳）,97分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
15, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～23歳）,98分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
16, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～24歳）,99分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
17, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～25歳）,100分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
18, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～26歳）,101分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
19, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～27歳）,102分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
20, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～28歳）,103分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
21, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～29歳）,104分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
22, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～30歳）,105分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
23, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～31歳）,106分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
24, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～32歳）,107分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
